day,cases,deaths
10-04-2020,33901,1873
09-04-2020,33323,1922
08-04-2020,30613,1906
07-04-2020,30561,1342
06-04-2020,25398,1146
05-04-2020,34272,1344
04-04-2020,32425,1104
03-04-2020,28819,915
02-04-2020,27103,1059
01-04-2020,24998,909
31-03-2020,21595,661
30-03-2020,18360,318
29-03-2020,19979,484
28-03-2020,18695,411
27-03-2020,16797,246
26-03-2020,13963,249
25-03-2020,8789,211
24-03-2020,11236,119
23-03-2020,8459,131
22-03-2020,7123,80
21-03-2020,5374,110
20-03-2020,4835,0
19-03-2020,2988,42
18-03-2020,1766,23
17-03-2020,887,16
16-03-2020,823,12
15-03-2020,777,10
14-03-2020,511,7
13-03-2020,351,10
12-03-2020,287,2
11-03-2020,271,2
10-03-2020,200,5
09-03-2020,121,4
08-03-2020,95,3
07-03-2020,105,2
06-03-2020,74,1
05-03-2020,34,2
04-03-2020,22,3
03-03-2020,14,4
02-03-2020,20,1
01-03-2020,3,1
29-02-2020,6,0
28-02-2020,1,0
27-02-2020,6,0
26-02-2020,0,0
25-02-2020,18,0
24-02-2020,0,0
23-02-2020,0,0
22-02-2020,19,0
21-02-2020,1,0
20-02-2020,0,0
19-02-2020,0,0
18-02-2020,0,0
17-02-2020,0,0
16-02-2020,0,0
15-02-2020,0,0
14-02-2020,1,0
13-02-2020,1,0
12-02-2020,0,0
11-02-2020,1,0
10-02-2020,0,0
09-02-2020,0,0
08-02-2020,0,0
07-02-2020,0,0
06-02-2020,1,0
05-02-2020,0,0
04-02-2020,0,0
03-02-2020,3,0
02-02-2020,1,0
01-02-2020,1,0
31-01-2020,1,0
30-01-2020,0,0
29-01-2020,0,0
28-01-2020,0,0
27-01-2020,3,0
26-01-2020,0,0
25-01-2020,1,0
24-01-2020,0,0
23-01-2020,0,0
22-01-2020,0,0
21-01-2020,1,0
20-01-2020,0,0
19-01-2020,0,0
18-01-2020,0,0
17-01-2020,0,0
16-01-2020,0,0
15-01-2020,0,0
14-01-2020,0,0
13-01-2020,0,0
12-01-2020,0,0
11-01-2020,0,0
10-01-2020,0,0
09-01-2020,0,0
08-01-2020,0,0
07-01-2020,0,0
06-01-2020,0,0
05-01-2020,0,0
04-01-2020,0,0
03-01-2020,0,0
02-01-2020,0,0
01-01-2020,0,0
31-12-2019,0,0
